SLEEP STAGE,M1,M2,M3,V1,V2,V3,SD1,SD2,SD3,E1,E2,E3,CV1,CV2,CV3,SNR1 ,SNR2,SNR3,CC1,CC2,CC3
0,-0.000654712645,0.3141054983,0.01279559182,3.283471859,31.54483735,8.854608949,10.78118745,995.0767636,78.40409964,2.639248158,1.415387731,1.664644156,-0.00006072732231,0.000315659565,0.0001632005453,-16467.05242,3167.969899,6127.430507,-0.000005632711851,0.0000003172213205,0.000002081530762
0,0.004201918633,0.174305669,0.0002627472255,2.734456128,10.55302736,4.283602118,7.477250316,111.3663864,18.3492471,2.992482087,1.945843984,2.329133403,0.0005619604073,0.001565155113,0.00001431923741,1779.484795,638.9143107,69836.12127,0.00007515602442,0.00001405410702,0.0000007803719317
0,0.0008788318747,0.04679429723,-0.006047240334,1.394875104,10.61706763,3.345741878,1.945676556,112.722125,11.19398871,4.023361472,1.523992136,2.580433319,0.0004516844652,0.0004151296584,-0.0005402221218,2213.934897,2408.885946,-1851.090431,0.0002321477657,0.000003682769984,-0.00004826002023
0,0.0003913845206,-0.1512017609,-8.75E-06,1.287264822,10.73353975,2.796219258,1.657050721,115.2088755,7.818842139,4.049217676,2.028730399,2.677588569,0.0002361934464,-0.001312414172,-1.12E-06,4233.817726,-761.9545883,-8.93E+05,0.0001425384531,-0.00001139160647,-1.43E-07
0,0.0007463479435,0.02494672426,-0.0007379629766,0.9747731012,3.529044549,1.659739683,0.9501825989,12.45415543,2.754735817,4.012678027,2.143774866,3.491105645,0.0007854784379,0.002003084385,-0.0002678888379,1273.109422,499.2300912,-3732.891627,0.0008266605164,0.0001608366297,-0.00009724665293
0,8.77E-05,-0.02197701067,0.001264754402,1.913352754,26.01104761,2.705325701,3.660918762,676.5745976,7.31878715,3.821159817,1.582789013,2.589332789,2.39E-05,-0.00003248276058,0.0001728092887,4.18E+04,-30785.56077,5786.725976,6.54E-06,-0.00000004801061213,0.00002361173855
0,0.001830505652,0.101804805,0.005402115572,2.624260352,4.601706951,3.38833819,6.886742394,21.17570686,11.48083569,2.905622654,2.049711206,2.555126326,0.0002658013829,0.004807622514,0.000470533306,3762.207665,208.0030196,2125.248069,0.00003859609779,0.0002270348067,0.00004098423832
0,0.002182598832,-0.0353907393,0.001462861813,1.896135546,5.883420361,2.526123829,3.595330008,34.61463515,6.3813016,3.516192179,1.750904505,2.635349365,0.0006070649502,-0.001022421272,0.0002292419172,1647.270197,-978.0704169,4362.203964,0.0001688481861,-0.00002953725405,0.00003592400604
0,0.001649630295,0.07988103291,0.002386004258,2.786029758,4.760175926,4.241138417,7.761961815,22.65927485,17.98725508,2.987389964,1.915581243,2.288133229,0.0002125274942,0.003525312855,0.000132649715,4705.273564,283.6627672,7538.651707,0.00002738064155,0.0001555792442,0.00000737465024
0,-0.0003946368652,-0.06463323663,0.001711108835,1.937493766,4.777361171,4.057400919,3.753882095,22.82317976,16.46250221,3.404328171,1.773306024,2.457276058,-0.0001051276666,-0.002831911999,0.0001039397786,-9512.24385,-353.1183173,9620.955652,-0.00002800505289,-0.0001240805194,0.000006313729056
